                          header                          | occurrences 
 (ইংরেজি) (NID এর                                        +| 
 সাথে মিল থাকতে হবে)                                      | 
 জন্ম তারিখ                                               +|         300
 (NID সাথে মিল                                           +| 
 থাকতে হবে).1                                             | 
 উপকার ভোগীর নাম(ইংরেজী)                                  |         300
 রেজিস্ট্রার্ড ডিলারের                                      +|         300
 নাম(NID এর সাথে                                         +| 
 মিল থাকতে হবে)                                           | 
 উপকারভোগীর নাম (NID অনুয়ায়ী)                              |         300
 স্বামী / স্ত্রীর জাতীয়                                     +|         300
 পরিচয়পত্র নং                                              | 
  লিঙ্গ                                                    |         300
 জন্ম তারিখ                                               +|         300
 (NID সাথে মিল                                           +| 
 থাকতে হবে)                                               | 
 উপকার ভোগীর নাম (ইংরেজী)                                +|         300
 (nid সাথে মিল থাকতে হবে)                                 | 
 রেজিস্ট্রার্ড ডিলারের                                      +|         300
  মোবাইল নং                                               | 
 স্বামী/স্ত্রীর নাম nid সাথে মিল থাকতে হবে)                  |         300
  ওয়ার্ড নম্বর                                              |         300
 স্বামী/স্ত্রী জন্ম তারিখ (nid সাথে মিল থাকতে হবে)            |         300
 ু                                                         |         300
 স্বামী/স্ত্রীর নাম (NID অনুয়ায়ী)                             |         300
 রেজিষ্টার্ড ডিলারের মোবাইল নম্বর                            |         300
 উপকারভোগীর নাম                                          +|         300
 ইংরেজীতে                                                 | 
 জাতীয়পরিচয় পত্র নম্বর                                      |         300
 উপকারভোগীর নাম ইংরেজিতে                                 |         300
 উপকারভোগীর নাম (বাংলা)                                  +|         300
 ( NID সাথে মিল থাকতে হবে)                                | 
 স্বামী স্ত্রী জন্ম তারিখ                                     |         300
 উপকার ভোগীর নাম                                         +|         299
 (ইংরেজি) NID সাথে মিল থাকতে হবে)                         | 
    স্বামী/ স্ত্রীর    জাতীয় পরিচয় পত্র নং                    |         299
 রেজিষ্ট্রার্ড ডিলারের                                      +|         299
 নাম (NID সাথে মিল থাকতে হবে)                             | 
 জন্ম তারিখ (NID সাথে মিল থাকতে হবে)                      +|         299
                                                          | 
 স্বামী/স্ত্রী নাম                                          +|         299
 (NID সাথে মিল থাকতে হবে )                                | 
 স্বামী/স্ত্রীর নাম ((NID সাথে মিল থাকতে হবে).1              |         299
 রেজিষ্ট্রার্ড ডিলারের                                      +|         299
 মোবাইল নং                                                | 
 রেজিস্ট্রার্ড ডিলারের NID NO                                |         299
 মোবাইল নং                                               +|         299
 (নিজ নামে)                                               | 
 রেজিষ্ট্রার্ড ডিলারের                                      +|         299
 এনআইডি নম্বর                                              | 
 স্বামী/স্ত্রী                                              +|         299
 জাতীয় পরিচয় নম্বর                                         | 
 স্বামী/স্ত্রী জন্ম তারিখ                                    +|         299
 (NID সাথে মিল থাকতে হবে )                                | 
 রেজিস্ট্রার্ড  ডিলারের মোবাইল নং                            |         299
    স্বামী/ স্ত্রী      জন্ম তারিখ                            |         299
 জাতীয় পরিচয় পত্র                                         +|         299
 নম্বর                                                     | 
 উপকার ভোগীর নাম                                         +|         299
 (বাংলা) NID সাথে মিল থাকতে হবে)                          | 
 জাতিয় পরিচয় পত্র নং                                       |         299
 হেল্পলাইন ডিলারের নাম                                     |         298
 হেল্পলাইন ডিলারের মোবাইল নং                               |         298
 উপকারভোগীর নাম (ইংরেজি)                                  |         298
 হেল্পলাইন ডিলারের এনআইডি নম্বর                             |         298
 জাতীয় পরিচয় পত্র নম্বর                                     |         298
 Column2                                                  |         297
 ভোক্তার নাম                                               |         296
 নমিনীর এনআইডি                                            |         296
 নমিনীর জন্ম তারিখ                                         |         296
 ভোক্তার এনআইডি নম্বর                                       |         296
 নমিনীর নাম                                               |         296
 ভোক্তার নাম ইংরেজিতে                                      |         296
 উপকারভোগীর নাম                                          +|         296
  ( ইংরেজি) NID সাথে                                     +| 
  মিল থাকতে হবে                                           | 
 ভোক্তার                                                  +|         295
 মোবাইল নং                                                | 
 রেজিষ্টার্র্ড ডিলারের                                      +|         295
 এনআইডি                                                   | 
 ডিলারের                                                 +|         295
 মোবাইল নং                                                | 
 কার্ড                                                    +|         295
 নং                                                       | 
 স্বামী/স্ত্রীর                                             +|         295
 জন্ম তারিখ                                                | 
 উপকারভোগীর নাম                                          |         295
 রেজিষ্টার্র্ড ডিলারের নাম                                   |         295
 রেজিষ্টার্ড ডিলালের নাম NID সাথে মিল থাকতে হবে             |         294
 উপকারভোগীর নাম (ইংরেজি) NID সাথে মিল থাকতে হবে           |         294
 রেজিষ্টার্ড ডিলালের মোবাইল নাম্বার                          |         294
 রেজিষ্টার্ড ডিলালের এনআইডি নাম্বার                          |         294
 স্বামী/স্ত্রীর জন্ম তারিখ NID সাথে মিল থাকতে হবে             |         294
 স্বামী/স্ত্রীর জাতীয় পরিচয় পত্রের নাম্বার                     |         294
 জাতীয় পরিচয় নং                                           |         293
 স্বামী-স্ত্রীর জাতীয় পরিচয় পত্র নম্বর                         |         293
 স্বামী-স্ত্রীর জন্ম তারিখ ((NID সাথে মিল থাকতে হবে)          |         293
 স্বামী-স্ত্রীর নাম (স্বামী-স্ত্রীর (NID সাথে মিল থাকতে হবে)    |         293
 সংযুক্ত ডিলারের নাম                                        |         292
 উপকার ভোগীর নাম (ইংরেজিতে)                              |         292
 স্বামী/স্ত্রীর জাতীয় পরিচয়প্রত্র নম্বর                         |         289
 উপকারভোগীর নাম(বাংলা)                                    |         289
 উপকারভোগীর নাম(ইংরেজি)                                   |         289
 রেজিস্ট্রাড ডিলারের নাম                                    |         286
 জাতিয় পরিচয় পত্র নম্বর                                     |         286
 রেজিস্ট্রাড ডিলারের মোবাইল নম্বর                            |         286
 রেজিস্ট্রাড ডিলারের এন আইডি নং                             |         286
                                                         +|         285
 পিতার নাম                                                | 
 রেজিষ্টার ডিলারের  এন আই ডি নম্বর                          |         285
 স্বামী /স্ত্রীর নাম( Nid) সাথে মিল থাকতে হবে                |         285
 উপকার ভোগীর নাম ইংরেজী Nid সাথে মিল থাকতে হবে            |         285
 মোবাইল নং নিজ নামে                                       |         285
 স্বামী/স্তীর জন্ম তারিখ (Nid) সাথে মিল থাকতে হবে            |         285
 রেজিষ্টার ডিলারের মোবাইল নং                               |         285
 জন্ম তারিখ (Nid) সাথে মিল থাকতে হবে                       |         285
 রেজিস্ট্রার্ড ডিলারের নাম NID সাথেমিল থাকতে হবে             |         277
 উপকারভোগীর নাম (ইংরেজীতে                                 |         277
 উপকারভোগীরনাম (ইংরেজি) (NID সাথে মিল থাকতে হবে)          |         243
 ওয়ার্ড  নং                                                |         243
 রেজিষ্টার্ডডিলারের নাম (NID সাথে মিল থাকতে হবে)            |         243
 জাতীয় পরিচয়পত্র   নম্বর                                    |         243
 স্বামী/স্ত্রী জাতীয় পরিচয়   নম্বর                            |         243
 উপকারভোগীর নাম(ইংরেজিতে)NID সাথে মিল থাকতে হবে           |         238
 ভোক্তার ধরন                                              +|         218
 (নতুন = N, পরিবর্তন =R)                                    | 
 রেজিস্ট্রার্ড ডিলারের মোবাইল                                |         218
 এনআইডি                                                   |         200
 স্বামী.স্ত্রী জন্ম তারিখ (NID সাথে মিল থাকতে হবে)            |         200
 DcKvi †fvMxi bvg Bs‡iRx                                  |         200
 উপকারভোগীর                                              +|         200
  নাম                                                     | 
 উপকার ভোগীর নাম (ইংরেজি) (NID সাথে মিল থাকতে হবে         |         200
 উপকারভোগীর                                              +|         200
  নাম(ইংরেজী)                                             | 
 পিতার                                                   +|         200
  নাম                                                     | 
 স্বামী/স্ত্রীর নাম (NID সাথে মিল থাকতে হবে                  |         200
 মোবাইল নম্বর                                             |         200
 কার্ড/ক্রমিক নং                                            |         200
 স্বামী/স্ত্রীর জন্ম তারিখ                                   +|         200
 NID সাথে মিল থাকতে হবে                                   | 
 রেজিষ্টার্ড ডিলারের নাম                                   +|         200
 NID সাথে মিল থাকতে হবে                                   | 
 উপকার ভোগীর নাম (বাংলা)                                 |         200
 জাতীয়                                                   +|         200
 পরিচয় পত্র                                               +| 
 নম্বর                                                     | 
 জন্ম তারিখ (NID                                          +|         200
 এর সাথে মিল থাকতে হবে)                                   | 
 স্বামী/ স্ত্রীর নাম (NID সাথে মিল থাকতে হবে)                |         200
 স্বামী/ স্ত্রীর জাতীয় পরিচয় নম্বর                            |         200
 স্বামী/স্ত্রী এনআইডি নম্বর                                   |         200
 মোবাইল (নিজ নামে)                                        |         200
 উপকার ভোগীর নাম (বাংলা) NID সাথে মিল থাকতে হবে          +|         200
                                                          | 
 জন্ম তারিখ (NID সাথে                                     +|         200
 মিল থাকতে হবে)                                           | 
 উপকার ভোগীর নাম (ইংরেজি)                                |         200
 রেজিষ্টার্ড ডিলারের                                       +|         200
 নাম (NID সাথে                                           +| 
 মিল থাকতে হবে)                                           | 
 স্বামী.স্ত্রীর নাম (NID সাথে মিল থাকতে হবে)                 |         200
 রেজিস্ট্রার্ড ডিলারের নাম (NID সাথে মিল থাকতে হবে           |         200
 স্বামী/স্ত্রী                                              +|         200
  নাম                                                     | 
 উপকার ভোগীর নাম (বাংলা) (NID সাথে মিল থাকতে হবে          |         200
 জন্ম তারিখ (NID                                          +|         200
 এর সাথে মিল থাকতে হবে).1                                 | 
 ওয়র্ড                                                    +|         200
  নং                                                      | 
 উপকার ভোগীর নাম (ইংরেজি) NID সাথে মিল থাকতে হবে         +|         200
                                                          | 
 wj½                                                      |         200
  জন্ম তারিখ (NID সাথে মিল থাকতে হবে)                      |         200
 রেজিস্ট্রার্ড ডিলারের মোবাইল নম্বর                           |         200
 রেজিস্ট্রার্ড ডিলারের এন আইডি নম্বর                          |         200
 রেজিষ্টার্ড                                               +|         200
 ডিলারের                                                 +| 
 এনআইডি নম্বর                                              | 
 রেজিষ্টার্ড ডিলারের  NID নম্বর                              |         200
 স্বামী/ স্ত্রী জন্ম তারিখ(NID এর সাথে মিল থাকতে হবে)         |         200
 স্বামী/ স্ত্রী জন্ম                                         +|         200
 তারিখ (NID                                              +| 
 সাথে                                                    +| 
 মিল থাকতে হবে)                                           | 
 স্বামী/ স্ত্রীর নাম                                        +|         200
 (NID সাথে                                               +| 
 মিল                                                     +| 
 থাকতে হবে)                                               | 
 উপকারভোগীর নাম(বাংলা)                                   +|         200
 (NID এর সাথে মিল থাকতে হবে)                              | 
 উপকারভোগীর নাম                                          +|         200
  (বাংলা) NID সাথে                                       +| 
 মিল থাকতে হবে)                                           | 
 উপকার ভোগীর নাম                                         +|         200
  (ইংরেজি) (NID                                          +| 
 সাথে মিল থাকতে হবে)                                      | 
 জন্ম তারিখ                                               +|         200
 NID সাথে মিল থাকতে হবে                                   | 
 জাতীয় পরিচয় নম্বর                                         |         200
 মোবাইল নং                                               +|         200
 নিজ নামে                                                 | 
 স্বামী/স্ত্রী নাম (NID সাথে                                +|         200
 মিল থাকতে হবে)                                           | 
 রেজিস্ট্রার্ড ডিলারের নাম(NID এর সাথে মিল থাকতে হবে)        |         200
 রেজিষ্টার্ড                                               +|         200
 ডিলারের                                                 +| 
 মোবাইল নং                                                | 
 স্বামী/স্ত্রী জন্ম তারিখ (NID সাথৈ মিল থাকতে হবে             |         200
 ag©                                                      |         200
 রেজিস্টার ডিলারের মোবাইল নম্বর                            |         200
 স্বামী/ স্ত্রী                                             +|         200
 জাতীয়                                                   +| 
 পরিচয় নম্বর                                               | 
 উপকারভোগীর নাম (বাংলা) (NID সাথে মিল থাকতে হবে)          |         199
 উপকারভোগীর নাম(ইংরেজী) এন আই ডি অনুযায়ী                   |         199
 রেজিষ্টার্ড ডিলারের এন আইডি নম্বর                           |         199
 ক্রমিক                                                   +|         198
 নং                                                       | 
 উপকারভোগীর নাম ( ইংরেজী ) ( NID) সাথে মিল থাকতে হবে      |         198
 রেজিষ্টারডিলালেরএনআইডি নম্বর                               |         197
 স্বামী/স্ত্রীর জাতীয়পরিচয়পত্র                                |         197
 রিজিষ্টার্ড ডিলারের নাম ( NID সাথে মিল থাকতে হবে)          |         197
 স্বামী/স্ত্রী নাম (NID সাথে মিল থাকতে হবে)                  |         197
 মোবইল নং (নিজ নামে)                                      |         197
 উপকার ভোগীর নাম (বাংলা) (NID) সাথে মিল থাকতে হবে)        |         197
 পিতা/স্বামীর নাম                                          |         197
 রেজিষ্টারডিলারের মোবাইল নম্বর                              |         197
 রেজিষ্টার্ড ডিলারের এনআইডি নম্বর                            |         197
 জন্ম তারিখ  (NID সাথে মিল থাকতে হবে)                      |         197
 উপকার ভোগীর নাম (ইংরেজি) (NID সাথে মিল থাকতে হবে)        |         197
 ইউপির নাম                                                |         197
 স্বামী/স্ত্র জন্ম তারিখ (NID) সাথে মিল থাকতে হবে)            |         197
 রেজিষ্টারডিলারেরনাম                                       |         197
 জন্ম তারিখ (NID সাথে মিল থাকতে বলে)                       |         197
 মোবাইল নং ( নিজের নামে)                                  |         197
 উপকার ভোগীর নাম( ইংরেজী)                                 |         197
 উপকার ভোগীর নাম (ইংরেজী) (NID) সাথে মিল থাকতে হবে        |         197
 জাতীয় পরিচয় পত্র নম্বর                                     |         197
 উপকারভোগীর নাম( ইংরেজি) (NID সাথে মিল থাকতে হবে)         |         197
 স্বামী/স্ত্রীর জাতীয় পরিচয় নম্বর                             |         197
 স্বামী / স্ত্রী জাতীয়                                      +|         196
  পরিচয়পত্র নম্বর                                           | 
 রেজিস্ট্রার্ড ডিলারের                                      +|         196
  NID নম্বর                                                | 
 মোবাইল নম্বর                                            +|         196
 (নিজ নামে)                                               | 
 উপকার ভোগীর নাম                                         +|         196
  (বাংলা) NID সাথে                                       +| 
  মিল থাকতে হবে)                                          | 
 কার্ড                                                    +|         196
  নম্বর                                                    | 
 রেজিস্ট্রার্ড ডিলারের নাম (NID সাথে                        +|         196
  মিল থাকতে হবে)                                          | 
 উপকার ভোগীর নাম (ইংরেজি) (NID সাথে                      +|         196
  মিল থাকতে হবে)                                          | 
 স্বামী/ স্ত্রীর নাম                                        +|         196
 (NID সাথে                                               +| 
  মিল থাকতে হবে)                                          | 
 উপকারভোগীর নাম( ইংরেজি)                                  |         196
 স্বামী/ স্ত্রী জম্ম তারিখ (NID সাথে                         +|         196
  মিল থাকতে হবে)                                          | 
 জম্ম তারিখ                                               +|         196
 (NID সাথে                                               +| 
  মিল থাকতে হবে)                                          | 
 উপকারভোগীর জাতীয় পরিচয় পত্র নম্বর                          |         194
 উপকারভোগীর জন্ম তারিখ (NID সাথে মিল থাকতে হবে)            |         194
 উপকারভোগীর মোবাইল নং (নিজ নামে)                          |         194
 স্বামী/স্ত্রী জাতীয় পরিচয় নম্বর (NID সাথে মিল থাকতে হবে)     |         194
 স্মামী/স্ত্রী নাম                                           |         193
 স্মামী/স্ত্রী জন্ম তারিখ                                     |         193
 রেজিষ্ট্রাড ডিলারের মোবাইল মোবাইল নম্বর                     |         193
 রেজিষ্ট্রাড ডিলারের জাতীয় পরিচয় পত্র                        |         193
 জাতীয় পরিচয় পত্র                                          |         193
 পিতা নাম                                                 |         193
 স্মামী/স্ত্রী জাতীয় পরিচয় পত্র                               |         193
 রেজিষ্ট্রাড ডিলারের নাম                                    |         193
 স্বামী/স্ত্রীর নাম NID সাথে মিল থাকতে হবে)                  |         192
 উপকারভোগীর নাম (ইংরেজি)NID সাথে মিল থাকতে হবে)           |         192
 রেজিস্ট্রার্ড ডিলারের নাম NID সাথে মিল থাকতে হবে)           |         192
 স্বামী/স্ত্রী জন্ম তারিখ NID সাথে মিল থাকতে হবে)             |         192
       উপকারভোগীর নাম                                     |         192
 স্বামী/স্ত্রীর জাতীয় পরিচয় পত্র নম্বর                         |         192
 ক্রঃ নং                                                   |         192
 স্বামী/ স্ত্রী জন্ম তারিখ                                    |         188
 উপকারভোগীর নাম (ইংরে জী) ((NID সাথে মিল থাকতে হবে)       |         188
 জাতীয় পরিচয় পত্র নং                                       |         188
 উপকার ভোগির নাম                                          |         188
 স্বামি/স্ত্রী নাম                                           |         188
 স্বামী/স্ত্রী জাতীয় পরিচয় নাম্বার                            |         188
 স্বামী/স্ত্রী জাতীয় পরিচয়পত্র                                |         188
 উপকারভোগীর নাম (বাংল) (NID সাথে মিল থাকতে হবে)           |         188
 উপকারভোগীর নাম (বাংলা) NID সাথে মিল থাকতে হবে।           |         186
 রেজিষ্ট্রার্ড ডিলারের মোবাইল নাম্বার                         |         186
 মোবাইল নম্বর (নিজ নামে)                                  |         186
 স্বামী-স্ত্রী জন্ম তারিখ (NID মিল থাকতে হবে)                 |         186
 রেজিষ্ট্রার্ড ডিলারের এনআইডি নাম্বার                         |         186
 রেজিষ্ট্রার্ড ডিলারের নাম(NIDসাথে মিল থাকতে হবে)            |         186
 স্বামী-স্ত্রীর জাতীয় পরিচয়পত্র নম্বর                          |         186
 স্বামী.স্ত্রী জন্ম তারিখ                                     |         167
 স্বামী.স্ত্রীর নাম                                          |         167
 রেজিস্ট্রার্ড ডিলারের নাম (NID)                             |         167
 জন্ম তারিখ                                                |         167
 মোবাইল নং (নজি নামে                                      |         153
 উপকার ভোগীর নম(ইংরেজি) (NID সাথে মিল থাকতে হবে)          |         153
  রেজিস্ট্রার্ড ডিলারের এনআইডি                               |         138
 উপগারভোগির নাম ইংরেজিতে                                  |         138
  রেজিস্ট্রার্ড ডিলারের মোবাইল নম্বর                          |         138
  রেজিস্ট্রার্ড ডিলারের নাম                                  |         138
 স্বামী/স্বামী জন্ম তারিখ                                    |         138
 জন্ম তারিখ (NID সাথে মিল থাকতে হবে                        |         130
 উপকার ভোগীর নাম (NID সাথে মিল থাকতে হবে)                 |         124
 রেজিষ্ট্রার্ড ডিলারের  এনআইডি নম্বর                          |         124
 ডিলারের এনআইডি নম্বর                                      |          20
 ডিলারের মোবাইল নম্বর                                     |          20
 স্বামী/স্ত্রীর এনআইডি নম্বর                                  |          20
 DoB                                                      |           2
(1145 rows)

