                          header                          | occurrences 
 স্বামী / স্ত্রী নাম                                         |        4372
 স্বামী/ স্ত্রী জাতীয়                                       +|        4372
 পরিচয়পত্র নম্বর                                            | 
 ভোক্তার ধরণ (নতুন N ও পরিবর্তন- R                          |        4372
 Unnamed: 14                                              |        4368
 ক্র:নং                                                    |        4334
 জন্ম তারিখ (NID) এর সাথে মিল থাকতে হবে                    |        4256
 Unnamed: 24                                              |        4247
 স্বামী/স্ত্রী জন্ম তারিখ                                     |        4145
 রেজিষ্টার্ড                                               +|        4115
 ডিলারের নাম                                              | 
 উপকার ভোগির নাম                                         +|        4115
  (ইংরাজি )(NID সাথে মিল থাকতে হবে)                       | 
 জাতীয় পরিচয়পত্রে                                         +|        4115
  নম্বর                                                    | 
 স্বামী/স্ত্রীর জাতীয়                                       +|        4115
 পরিচয়পত্রের নাম্বার                                        | 
 রেজিষ্টার্ড ডিলারের                                       +|        4115
 মোবাইল নাম্বার                                            | 
 রেজিষ্টার্ড ডিলারের                                       +|        4115
  এন আইডি                                                 | 
 স্বামী/ স্ত্রীর নাম                                        +|        4095
  (NID এর সাথে                                           +| 
 মিল থাকতে হবে)                                           | 
 উপকার ভোগীর নাম ইংরেজী                                   |        3986
 Unnamed: 32                                              |        3948
 Unnamed: 35                                              |        3948
 Unnamed: 31                                              |        3948
 Unnamed: 34                                              |        3948
 Unnamed: 30                                              |        3948
 Unnamed: 28                                              |        3948
 Unnamed: 25                                              |        3948
 Unnamed: 26                                              |        3948
 Unnamed: 33                                              |        3948
 Unnamed: 27                                              |        3948
 Unnamed: 29                                              |        3948
 Unnamed: 36                                              |        3948
 স্বামী/স্ত্রীর জন্ম তারিখ (NID সাথে মিল থাকতে হবে)           |        3877
 রেজিস্ট্রার্ড ডিলারের নাম(NID সাথে মিল থাকতে হবে)           |        3838
 স্বামী/ স্ত্রীর জন্ম তারিখ                                   |        3796
 রেজিস্টার্ড ডিলারের এনআইডি নম্বর                            |        3795
 উপকার ভোগীর নাম (বাংলা)                                  |        3779
 রেজিষ্টার্ড ডিলারের এনআইডি                                 |        3778
 রেজিস্টার্ড ডিলারের মোবাইল নং                              |        3708
 ক্রমিক                                                    |        3697
 রেজিস্ট্রার্ড ডিলারের                                      +|        3678
 এনআইডি নম্বর                                              | 
 রেজিস্ট্রার্ড ডিলারের                                      +|        3678
 নাম (NID সাথে মিল থাকতে হবে)                             | 
 Unnamed: 40                                              |        3655
 Unnamed: 38                                              |        3655
 Unnamed: 39                                              |        3655
 Unnamed: 37                                              |        3655
 পিতা/স্বামীর নাম                                          |        3589
 উপকারভোগীর নাম (ইংরেজী) (NID সাথে মিল থাকতে হবে)         |        3568
 রেজিষ্টার্ড ডিলারের মোবাইল নম্বর                            |        3541
 জন্মতারিখ                                                 |        3488
 স্বামী/ স্ত্রীর                                            +|        3478
  জাতীয় পরিচয়পত্র                                          | 
 রেজিস্ট্রার্ড ডিলারের নাম (NID এর সাথে                      |        3478
 জাতীয় পরিচয় পত্রের নং                                     |        3473
 রেজিস্টার্ড ডিলারের এনআইডি নং                              |        3473
 রেজিস্টার্ড ডিলারের মোবাঃ নং                               |        3473
 উপকার ভোগীর নাম (বাংলা)                                  |        3403
 উপকারভোগীর নাম (বাংলা)(NID সাথে মিল থাকতে হবে)           |        3371
 Unnamed: 1                                               |        3344
 রেজিষ্ট্রাড ডিলারের নাম                                    |        3305
 ইউনিয়নের                                                +|        3251
 নাম                                                      | 
 জন্ম তারিখ                                               +|        3244
  (NID সাথে মিল থাকতে হবে)                                | 
 রেজিষ্টার ডিলারের মোবাইল নম্বর                             |        3203
 স্বামী স্ত্রী জাতীয় পরিচয় পত্র নম্বর                          |        3163
 জাতীয় পরিচয়প্রত্র                                          |        3124
 স্বামী/স্ত্রীর নাম জাতীয় পরিচয়পত্র নম্বর                      |        3060
 মোবাইল নং                                               +|        3020
  (নিজ নামে)                                              | 
 জাতীয়                                                   +|        3003
 পরিচয় পত্র                                               +| 
 নম্বর                                                     | 
 পিতার                                                   +|        3003
 নাম                                                      | 
 স্বামী/স্ত্রীর নাম                                         +|        3003
 (NID সাথে                                               +| 
 মিল থাকতে হবে)                                           | 
 উপকার ভোগীর নাম                                         +|        3003
 (ইংরেজি) (NID                                           +| 
 সাথে মিল থাকতে                                          +| 
 হবে)                                                     | 
 রেজিস্ট্রার্ড ডিলারের নাম                                  +|        3003
 (NID                                                    +| 
 সাথে মিল থাকতে                                          +| 
 হবে)                                                     | 
 স্বামী/স্ত্রীর                                             +|        3003
 জাতীয়                                                   +| 
 পরিচয় নম্বর                                               | 
 ইউনিয়নের                                                +|        3003
 নাম                                                      | 
 স্বামী/স্ত্রীর জন্ম                                         +|        3003
 তারিখ (NID                                              +| 
 সাথে মিল থাকতে                                          +| 
 হবে)                                                     | 
 উপকার ভোগীর নাম                                         +|        3003
 (বাংলা) (NID                                            +| 
 সাথে মিল থাকতে                                          +| 
  হবে)                                                    | 
 ওয়ার্ড নম্বর                                               |        2989
 স্বামী/স্ত্রীর জাতীয় পরিচয়পত্র নম্বর (10/17 ডিজিট)            |        2989
 স্বামী / স্ত্রী’র জন্ম তারিখ                                 |        2989
 রেজিস্ট্রার্ড ডিলারের পরিচয়পত্র নম্বর (10/17 ডিজিট)           |        2989
 উপকারোগীর নাম (ইংরেজি) (NID সাথে মিল থাকতে হবে)          |        2989
 জাতীয় পরিচয়পত্র নম্বর (10/17 ডিজিট)                        |        2979
 জন্ম তারিখ (yyyy-mm-dd)                                   |        2979
 ডিলারের জাতীয় পরিচয়পত্র নম্বর                              |        2969
 উপকার ভোগীর নাম (ইংরেজী)                                 |        2967
 স্বামী/স্ত্রীর জন্ম তারিখ                                    |        2907
 Eroor                                                    |        2900
 উপকারভোগীর নাম ইংরেজি                                    |        2799
 উপকারভোগীর নাম(বাংলা) (NID সাথে মিল থাকতে হবে)           |        2774
 জন্ম তারিখ                                               +|        2773
  (NID এর সাথে                                           +| 
 মিল থাকতে হবে)                                           | 
 স্বামী/ স্ত্রীর                                            +|        2773
  জন্ম তারিখ  (NID                                        +| 
  এর সাথে মিল থাকতে হবে                                   | 
 রেজিস্ট্রার্ড ডিলারের মোবাইল নং                             |        2769
 মোবাইল নং(নিজ নামে)                                      |        2762
 রেজিস্ট্রার্ড ডিলারের এনআইডি নম্বর                           |        2717
 উপকার ভোগীর নাম (বাংলা)(NID সাথে মিল থাকতে হবে)          |        2717
 গ্রাম                                                     |        2699
 Unnamed: 12                                              |        2681
 স্বামী/স্ত্রী জাতীয়                                        +|        2673
 পরিচয় নম্বর                                               | 
 স্বামী-স্ত্রীর নাম                                          |        2670
  ডিলারের মোবাইল নং                                       |        2606
  ডিলারের এনআইডি নম্বর                                     |        2606
 উপকার ভোগীর নাম (ইংরেজি)                                 |        2606
